trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
ABE_R1,7:15:00,7:15:00,ABE_1,1,,0,0,,1
ABE_R2,7:55:00,7:55:00,ABE_1,1,,0,0,,1
ABE_R3,8:35:00,8:35:00,ABE_1,1,,0,0,,1
ABE_R4,9:15:00,9:15:00,ABE_1,1,,0,0,,1
ABE_R5,9:55:00,9:55:00,ABE_1,1,,0,0,,1
ABE_R6,10:35:00,10:35:00,ABE_1,1,,0,0,,1
ABE_R7,11:15:00,11:15:00,ABE_1,1,,0,0,,1
ABE_R8,11:55:00,11:55:00,ABE_1,1,,0,0,,1
ABE_R9,12:35:00,12:35:00,ABE_1,1,,0,0,,1
ABE_R10,13:15:00,13:15:00,ABE_1,1,,0,0,,1
ABE_R11,13:55:00,13:55:00,ABE_1,1,,0,0,,1
ABE_R12,14:35:00,14:35:00,ABE_1,1,,0,0,,1
ABE_R13,15:15:00,15:15:00,ABE_1,1,,0,0,,1
ABE_R14,15:55:00,15:55:00,ABE_1,1,,0,0,,1
ABE_R15,16:35:00,16:35:00,ABE_1,1,,0,0,,1
ABE_R16,17:15:00,17:15:00,ABE_1,1,,0,0,,1
ABE_R17,17:55:00,17:55:00,ABE_1,1,,0,0,,1
ABE_L1,18:35:00,18:35:00,ABE_1,1,,0,0,,1
ABE_L2,19:15:00,19:15:00,ABE_1,1,,0,0,,1

ABE_R1,,,ABE_2,2,,0,0,,1
ABE_R2,,,ABE_2,2,,0,0,,1
ABE_R3,,,ABE_2,2,,0,0,,1
ABE_R4,,,ABE_2,2,,0,0,,1
ABE_R5,,,ABE_2,2,,0,0,,1
ABE_R6,,,ABE_2,2,,0,0,,1
ABE_R7,,,ABE_2,2,,0,0,,1
ABE_R8,,,ABE_2,2,,0,0,,1
ABE_R9,,,ABE_2,2,,0,0,,1
ABE_R10,,,ABE_2,2,,0,0,,1
ABE_R11,,,ABE_2,2,,0,0,,1
ABE_R12,,,ABE_2,2,,0,0,,1
ABE_R13,,,ABE_2,2,,0,0,,1
ABE_R14,,,ABE_2,2,,0,0,,1
ABE_R15,,,ABE_2,2,,0,0,,1
ABE_R16,,,ABE_2,2,,0,0,,1
ABE_R17,,,ABE_2,2,,0,0,,1
ABE_L1,,,ABE_2,2,,0,0,,1
ABE_L2,,,ABE_2,2,,0,0,,1

ABE_R1,,,ABE_3,3,,0,0,,1
ABE_R2,,,ABE_3,3,,0,0,,1
ABE_R3,,,ABE_3,3,,0,0,,1
ABE_R4,,,ABE_3,3,,0,0,,1
ABE_R5,,,ABE_3,3,,0,0,,1
ABE_R6,,,ABE_3,3,,0,0,,1
ABE_R7,,,ABE_3,3,,0,0,,1
ABE_R8,,,ABE_3,3,,0,0,,1
ABE_R9,,,ABE_3,3,,0,0,,1
ABE_R10,,,ABE_3,3,,0,0,,1
ABE_R11,,,ABE_3,3,,0,0,,1
ABE_R12,,,ABE_3,3,,0,0,,1
ABE_R13,,,ABE_3,3,,0,0,,1
ABE_R14,,,ABE_3,3,,0,0,,1
ABE_R15,,,ABE_3,3,,0,0,,1
ABE_R16,,,ABE_3,3,,0,0,,1
ABE_R17,,,ABE_3,3,,0,0,,1
ABE_L1,,,ABE_3,3,,0,0,,1
ABE_L2,,,ABE_3,3,,0,0,,1

ABE_R1,,,ABE_4,4,,0,0,,1
ABE_R2,,,ABE_4,4,,0,0,,1
ABE_R3,,,ABE_4,4,,0,0,,1
ABE_R4,,,ABE_4,4,,0,0,,1
ABE_R5,,,ABE_4,4,,0,0,,1
ABE_R6,,,ABE_4,4,,0,0,,1
ABE_R7,,,ABE_4,4,,0,0,,1
ABE_R8,,,ABE_4,4,,0,0,,1
ABE_R9,,,ABE_4,4,,0,0,,1
ABE_R10,,,ABE_4,4,,0,0,,1
ABE_R11,,,ABE_4,4,,0,0,,1
ABE_R12,,,ABE_4,4,,0,0,,1
ABE_R13,,,ABE_4,4,,0,0,,1
ABE_R14,,,ABE_4,4,,0,0,,1
ABE_R15,,,ABE_4,4,,0,0,,1
ABE_R16,,,ABE_4,4,,0,0,,1
ABE_R17,,,ABE_4,4,,0,0,,1
ABE_L1,,,ABE_4,4,,0,0,,1
ABE_L2,,,ABE_4,4,,0,0,,1

ABE_R1,,,ABE_5,5,,0,0,,1
ABE_R2,,,ABE_5,5,,0,0,,1
ABE_R3,,,ABE_5,5,,0,0,,1
ABE_R4,,,ABE_5,5,,0,0,,1
ABE_R5,,,ABE_5,5,,0,0,,1
ABE_R6,,,ABE_5,5,,0,0,,1
ABE_R7,,,ABE_5,5,,0,0,,1
ABE_R8,,,ABE_5,5,,0,0,,1
ABE_R9,,,ABE_5,5,,0,0,,1
ABE_R10,,,ABE_5,5,,0,0,,1
ABE_R11,,,ABE_5,5,,0,0,,1
ABE_R12,,,ABE_5,5,,0,0,,1
ABE_R13,,,ABE_5,5,,0,0,,1
ABE_R14,,,ABE_5,5,,0,0,,1
ABE_R15,,,ABE_5,5,,0,0,,1
ABE_R16,,,ABE_5,5,,0,0,,1
ABE_R17,,,ABE_5,5,,0,0,,1
ABE_L1,,,ABE_5,5,,0,0,,1
ABE_L2,,,ABE_5,5,,0,0,,1

ABE_R1,,,ABE_6,6,,0,0,,1
ABE_R2,,,ABE_6,6,,0,0,,1
ABE_R3,,,ABE_6,6,,0,0,,1
ABE_R4,,,ABE_6,6,,0,0,,1
ABE_R5,,,ABE_6,6,,0,0,,1
ABE_R6,,,ABE_6,6,,0,0,,1
ABE_R7,,,ABE_6,6,,0,0,,1
ABE_R8,,,ABE_6,6,,0,0,,1
ABE_R9,,,ABE_6,6,,0,0,,1
ABE_R10,,,ABE_6,6,,0,0,,1
ABE_R11,,,ABE_6,6,,0,0,,1
ABE_R12,,,ABE_6,6,,0,0,,1
ABE_R13,,,ABE_6,6,,0,0,,1
ABE_R14,,,ABE_6,6,,0,0,,1
ABE_R15,,,ABE_6,6,,0,0,,1
ABE_R16,,,ABE_6,6,,0,0,,1
ABE_R17,,,ABE_6,6,,0,0,,1
ABE_L1,,,ABE_6,6,,0,0,,1
ABE_L2,,,ABE_6,6,,0,0,,1

ABE_R1,7:20:00,7:20:00,ABE_7,7,,0,0,,1
ABE_R2,8:00:00,8:00:00,ABE_7,7,,0,0,,1
ABE_R3,8:40:00,8:40:00,ABE_7,7,,0,0,,1
ABE_R4,9:20:00,9:20:00,ABE_7,7,,0,0,,1
ABE_R5,10:00:00,10:00:00,ABE_7,7,,0,0,,1
ABE_R6,10:40:00,10:40:00,ABE_7,7,,0,0,,1
ABE_R7,11:20:00,11:20:00,ABE_7,7,,0,0,,1
ABE_R8,12:00:00,12:00:00,ABE_7,7,,0,0,,1
ABE_R9,12:40:00,12:40:00,ABE_7,7,,0,0,,1
ABE_R10,13:20:00,13:20:00,ABE_7,7,,0,0,,1
ABE_R11,14:00:00,14:00:00,ABE_7,7,,0,0,,1
ABE_R12,14:40:00,14:40:00,ABE_7,7,,0,0,,1
ABE_R13,15:20:00,15:20:00,ABE_7,7,,0,0,,1
ABE_R14,16:00:00,16:00:00,ABE_7,7,,0,0,,1
ABE_R15,16:40:00,16:40:00,ABE_7,7,,0,0,,1
ABE_R16,17:20:00,17:20:00,ABE_7,7,,0,0,,1
ABE_R17,18:00:00,18:00:00,ABE_7,7,,0,0,,1
ABE_L1,18:35:00,18:35:00,ABE_7,7,,0,0,,1
ABE_L2,19:15:00,19:15:00,ABE_7,7,,0,0,,1

ABE_R1,,,ABE_8,8,,0,0,,1
ABE_R2,,,ABE_8,8,,0,0,,1
ABE_R3,,,ABE_8,8,,0,0,,1
ABE_R4,,,ABE_8,8,,0,0,,1
ABE_R5,,,ABE_8,8,,0,0,,1
ABE_R6,,,ABE_8,8,,0,0,,1
ABE_R7,,,ABE_8,8,,0,0,,1
ABE_R8,,,ABE_8,8,,0,0,,1
ABE_R9,,,ABE_8,8,,0,0,,1
ABE_R10,,,ABE_8,8,,0,0,,1
ABE_R11,,,ABE_8,8,,0,0,,1
ABE_R12,,,ABE_8,8,,0,0,,1
ABE_R13,,,ABE_8,8,,0,0,,1
ABE_R14,,,ABE_8,8,,0,0,,1
ABE_R15,,,ABE_8,8,,0,0,,1
ABE_R16,,,ABE_8,8,,0,0,,1
ABE_R17,,,ABE_8,8,,0,0,,1
ABE_L1,,,ABE_8,8,,0,0,,1
ABE_L2,,,ABE_8,8,,0,0,,1

ABE_R1,,,ABE_9,9,,0,0,,1
ABE_R2,,,ABE_9,9,,0,0,,1
ABE_R3,,,ABE_9,9,,0,0,,1
ABE_R4,,,ABE_9,9,,0,0,,1
ABE_R5,,,ABE_9,9,,0,0,,1
