route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
ABE,REG,ABE_R1,Athabasca East,,ABW_R1,
ABE,REG,ABE_R2,Athabasca East,,ABW_R2,
ABE,REG,ABE_R3,Athabasca East,,ABW_R3,
ABE,REG,ABE_R4,Athabasca East,,ABW_R4,
ABE,REG,ABE_R5,Athabasca East,,ABW_R5,
ABE,REG,ABE_R6,Athabasca East,,ABW_R6,
ABE,REG,ABE_R7,Athabasca East,,ABW_R7,
ABE,REG,ABE_R8,Athabasca East,,ABW_R8,
ABE,REG,ABE_R9,Athabasca East,,ABW_R9,
ABE,REG,ABE_R10,Athabasca East,,ABW_R10,
ABE,REG,ABE_R11,Athabasca East,,ABW_R11,
ABE,REG,ABE_R12,Athabasca East,,ABW_R12,
ABE,REG,ABE_R13,Athabasca East,,ABW_R13,
ABE,REG,ABE_R14,Athabasca East,,ABW_R14,
ABE,REG,ABE_R15,Athabasca East,,ABW_R15,
ABE,REG,ABE_R16,Athabasca East,,ABW_R16,
ABE,REG,ABE_R17,Athabasca East,,ABW_R17,
ABE,LAT,ABE_L1,Athabasca East,,ABW_L1,
ABE,LAT,ABE_L2,Athabasca East,,ABE_L2,


SUN,REG,SUN_R1,Sunningdale,,WES_R1,
SUN,REG,SUN_R2,Sunningdale,,WES_R2,
SUN,REG,SUN_R3,Sunningdale,,WES_R3,
SUN,REG,SUN_R4,Sunningdale,,WES_R4,
SUN,REG,SUN_R5,Sunningdale,,WES_R5,
SUN,REG,SUN_R6,Sunningdale,,WES_R6,
SUN,REG,SUN_R7,Sunningdale,,WES_R7,
SUN,REG,SUN_R8,Sunningdale,,WES_R8,
SUN,REG,SUN_R9,Sunningdale,,WES_R9,
SUN,REG,SUN_R10,Sunningdale,,WES_R10,
SUN,REG,SUN_R11,Sunningdale,,WES_R11,
SUN,REG,SUN_R12,Sunningdale,,WES_R12,
SUN,REG,SUN_R13,Sunningdale,,WES_R13,
SUN,REG,SUN_R14,Sunningdale,,WES_R14,
SUN,REG,SUN_R15,Sunningdale,,WES_R15,
SUN,REG,SUN_R16,Sunningdale,,WES_R16,
SUN,REG,SUN_R17,Sunningdale,,WES_R17,
SUN,LAT,SUN_L1,Sunningdale,,WES_L1,
SUN,LAT,SUN_L2,Sunningdale,,WES_L2,


ABW,REG,ABW_R1,Athabasca West,,ABE_R1,
ABW,REG,ABW_R2,Athabasca West,,ABE_R2,
ABW,REG,ABW_R3,Athabasca West,,ABE_R3,
ABW,REG,ABW_R4,Athabasca West,,ABE_R4,
ABW,REG,ABW_R5,Athabasca West,,ABE_R5,
ABW,REG,ABW_R6,Athabasca West,,ABE_R6,
ABW,REG,ABW_R7,Athabasca West,,ABE_R7,
ABW,REG,ABW_R8,Athabasca West,,ABE_R8,
ABW,REG,ABW_R9,Athabasca West,,ABE_R9,
ABW,REG,ABW_R10,Athabasca West,,ABE_R10,
ABW,REG,ABW_R11,Athabasca West,,ABE_R11,
ABW,REG,ABW_R12,Athabasca West,,ABE_R12,
ABW,REG,ABW_R13,Athabasca West,,ABE_R13,
ABW,REG,ABW_R14,Athabasca West,,ABE_R14,
ABW,REG,ABW_R15,Athabasca West,,ABE_R15,
ABW,REG,ABW_R16,Athabasca West,,ABE_R16,
ABW,REG,ABW_R17,Athabasca West,,ABE_R17,
ABW,LAT,ABW_L1,Athabasca West,,ABE_L1,
ABW,LAT,ABW_L2,Athabasca West,,ABE_L2,

WES,REG,WES_R1,Westmount,,SUN_R1,
WES,REG,WES_R2,Westmount,,SUN_R2,
WES,REG,WES_R3,Westmount,,SUN_R3,
WES,REG,WES_R4,Westmount,,SUN_R4,
WES,REG,WES_R5,Westmount,,SUN_R5,
WES,REG,WES_R6,Westmount,,SUN_R6,
WES,REG,WES_R7,Westmount,,SUN_R7,
WES,REG,WES_R8,Westmount,,SUN_R8,
WES,REG,WES_R9,Westmount,,SUN_R9,
WES,REG,WES_R10,Westmount,,SUN_R10,
WES,REG,WES_R11,Westmount,,SUN_R11,
WES,REG,WES_R12,Westmount,,SUN_R12,
WES,REG,WES_R13,Westmount,,SUN_R13,
WES,REG,WES_R14,Westmount,,SUN_R14,
WES,REG,WES_R15,Westmount,,SUN_R15,
WES,REG,WES_R16,Westmount,,SUN_R16,
WES,REG,WES_R17,Westmount,,SUN_R17,
WES,LAT,WES_L1,Westmount,,SUN_L1,
WES,LAT,WES_L2,Westmount,,SUN_L2,
